,Match_id,Innings,Player_name,Batting_number,Over_start_number,Runs_Scored,Balls_faced,Dots,Ones,Twos,Thress,Fours,Sixs,FOW_score,FOW_over,FOW_batting_number,FOW_bowler,Wicket_method,Overs_bowled,Runs_conceded,Wickets_taken,Maiden_overs,Extras,co-batsmen wicket fallen
9055,244511,2,Inzamam-ul-Haq,5,11.5,79,91,45,38,6,1,5,1,209,42.4,9,AB Agarkar,run out,0,0,0,0,0,4
9056,244511,2,Mohammad Yousuf,6,25.2,5,8,5,3,1,0,0,0,108,27.5,5,RR Powar,caught,0,0,0,0,0,-1
9057,244511,2,Kamran Akmal,7,27.6,18,25,13,10,2,0,1,0,147,34.6,6,Harbhajan Singh,caught,0,0,0,0,0,-1
9058,244511,2,Abdul Razzaq,8,34.7,1,3,2,1,0,0,0,0,148,35.2,7,RR Powar,caught,5,41,0,0,2,-1
9059,244511,2,Naved-ul-Hasan,9,35.3,27,17,5,7,1,0,3,1,198,41.2,8,IK Pathan,caught,10,46,2,0,2,-1
9060,244511,2,Iftikhar Anjum,10,41.3,11,13,4,7,2,0,0,0,218,45.2,10,S Sreesanth,bowled,10,51,0,0,0,0
9061,244511,2,Mohammad Asif,11,42.5,1,7,6,1,0,0,0,0,-1,-1,-1,-1,-1,10,60,1,0,3,-12
9062,247457,1,CH Gayle,1,0.1,2,6,4,2,0,0,0,0,7,2.2,1,Umar Gul,caught,0,0,0,0,0,0
9063,247457,1,S Chanderpaul,2,0.1,19,61,52,9,1,0,2,0,64,19.2,2,Iftikhar Anjum,caught,0,0,0,0,0,0
9064,247457,1,RR Sarwan,3,2.3,49,63,44,11,1,0,9,0,77,23.5,3,Iftikhar Anjum,caught,0,0,0,0,0,0
9065,247457,1,MN Samuels,4,19.3,63,70,40,19,3,0,5,3,181,43.6,5,Mohammad Hafeez,caught,0,0,0,0,0,1
9066,247457,1,BC Lara,5,23.6,37,56,38,15,2,0,3,1,168,41.1,4,Mohammad Hafeez,caught,0,0,0,0,0,-1
9067,247457,1,DJ Bravo,6,41.2,16,16,8,8,0,0,2,0,232,49.3,9,Iftikhar Anjum,caught,9,42,3,0,1,3
9068,247457,1,D Ramdin,7,44.1,1,4,3,1,0,0,0,0,183,44.5,6,Danish Kaneria,stumped,0,0,0,0,0,-1
